p_id,m_id,won,captain,team_id
29,14,1,0,3
31,14,1,0,3
52,14,0,0,4
53,14,0,0,4
50,14,0,0,4
49,14,0,0,4
51,14,0,0,4
38,15,1,0,3
35,15,1,0,3
36,15,1,0,3
32,15,1,0,3
37,15,1,0,3
33,15,1,0,3
2,15,0,0,1
3,15,0,1,1
4,15,0,0,1
7,15,0,0,1
1,15,0,0,1
8,15,0,0,1
6,15,0,0,1
10,15,0,0,1
13,15,0,0,1
9,15,0,0,1
12,15,0,0,1
29,15,1,0,3
31,15,1,0,3
28,15,1,1,3
42,15,1,0,3
113,16,0,0,21
112,16,0,0,21
114,16,0,0,21
10,16,0,0,21
115,16,0,0,21
5,16,0,0,21
120,16,1,0,22
121,16,1,0,22
122,16,1,0,22
15,16,1,0,22
73,16,1,0,22
9,16,1,0,22
123,16,1,0,22
8,16,1,1,22
84,16,0,0,21
29,16,0,1,21
111,16,0,0,21
109,16,0,0,21
125,16,1,0,22
124,16,1,0,22
80,16,1,0,22
154,17,0,0,25
152,17,0,0,25
91,17,0,0,25
87,17,0,0,25
151,17,0,0,25
153,17,0,0,25
2,17,1,1,24
71,17,1,0,24
138,17,1,0,24
6,17,1,0,24
137,17,1,0,24
140,17,1,0,24
139,17,1,0,24
147,17,0,1,25
88,17,0,0,25
31,17,0,0,25
148,17,0,0,25
149,17,0,0,25
142,17,1,0,24
141,17,1,0,24
12,17,1,0,24
143,17,1,0,24
130,19,1,0,23
94,19,1,0,23
132,19,1,0,23
131,19,1,0,23
13,19,1,0,23
33,19,1,0,23
2,19,0,1,24
137,19,0,0,24
138,19,0,0,24
139,19,0,0,24
6,19,0,0,24
71,19,0,0,24
140,19,0,0,24
127,19,1,0,23
128,19,1,0,23
3,19,1,1,23
60,19,1,0,23
129,19,1,0,23
12,19,0,0,24
141,19,0,0,24
143,19,0,0,24
142,19,0,0,24
80,20,1,0,22
9,20,1,0,22
124,20,1,0,22
123,20,1,0,22
126,20,1,0,22
125,20,1,0,22
56,20,0,0,26
1,20,0,1,26
160,20,0,0,26
159,20,0,0,26
161,20,0,0,26
162,20,0,0,26
59,20,0,0,26
163,20,0,0,26
166,20,0,0,26
167,20,0,0,26
120,20,1,0,22
121,20,1,0,22
15,20,1,0,22
122,20,1,0,22
8,20,1,1,22
14,20,0,0,26
191,21,1,0,28
189,21,1,0,28
61,21,1,0,28
188,21,1,0,28
190,21,1,0,28
11,21,1,0,28
88,21,0,0,25
148,21,0,0,25
31,21,0,0,25
147,21,0,1,25
186,21,1,0,28
184,21,1,0,28
151,21,0,0,25
150,21,0,0,25
87,21,0,0,25
91,21,0,0,25
