p_id,innings,runs,balls,sr,avg,best,not_outs,dots,c1,c2,c3,c4,c6,c30,c50,c100
283,6,110,73,150.68,36.67,254,3,26,27,3,1,11,5,1,0,0
284,4,134,97,138.14,44.67,237,1,35,44,1,0,7,10,2,2,0
285,7,80,56,142.86,26.67,302,4,22,21,0,1,8,4,0,0,0
286,3,46,35,131.43,46,229,2,13,14,0,0,8,0,0,0,0
287,8,92,75,122.67,18.4,295,3,26,38,0,0,6,5,1,0,0
288,7,178,130,136.92,29.67,264,1,47,56,1,0,18,8,2,1,0
289,5,162,126,128.57,32.4,248,0,54,44,3,0,19,6,2,1,0
290,5,125,88,142.05,25,234,0,31,39,1,0,9,8,2,0,0
291,5,90,80,112.5,22.5,259,1,30,38,1,0,8,3,1,0,0
292,5,151,86,175.58,37.75,241,1,33,27,1,0,14,11,2,2,0
293,5,37,35,105.71,9.25,259,1,15,15,0,0,4,1,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,3,34,20,170,17,256,1,5,9,0,1,4,1,0,0,0
297,2,13,17,76.47,0,290,2,7,9,0,0,1,0,0,0,0
298,4,20,20,100,5,301,0,9,8,0,0,3,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3,65,46,141.3,21.67,298,0,20,17,0,0,3,6,1,0,0
301,3,261,155,168.39,87,296,0,43,67,4,0,30,11,3,3,1
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1,11,10,110,11,256,0,4,5,0,0,0,1,0,0,0
305,3,51,41,124.39,17,275,0,14,20,0,1,4,2,1,1,0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,5,134,89,150.56,33.5,261,1,33,34,1,0,14,7,1,1,0
318,2,22,15,146.67,22,291,1,5,6,0,0,4,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1,1,1,100,0,301,1,0,1,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
