id,inn_id,m_id,t_id,b1,b2,runs,balls,c1,c2,c3,dots,c4,c6,sr,for_wicket,unbeaten,bow_team,bat_team,b1s,b2s,b1b,b2b
147,23,12,1,100,99,2,6,2,0,0,4,0,0,33.33,4,4.5,7,8,1,1,2,4
148,23,12,1,100,107,36,22,10,0,0,7,2,3,163.64,5,8.3,7,8,18,18,11,11
149,23,12,1,100,105,11,9,4,0,0,5,0,1,122.22,6,9.6,7,8,7,3,5,5
150,23,12,1,103,105,38,33,16,0,0,12,4,1,115.15,7,15.3,7,8,25,13,19,14
151,23,12,1,104,105,0,4,0,0,0,4,0,0,0,8,16.1,7,8,0,0,3,1
152,23,12,1,104,108,19,19,5,1,0,10,3,0,100,9,19.2,7,8,11,8,13,6
153,23,12,1,104,106,4,4,0,0,0,3,1,0,100,10,0,7,8,0,4,0,4
154,24,12,1,95,84,51,36,13,1,0,15,3,4,141.67,1,5.6,8,7,20,31,24,12
155,24,12,1,85,84,8,9,4,0,0,4,1,0,88.89,2,7.3,8,7,5,3,6,3
156,24,12,1,86,84,17,17,10,0,0,7,0,1,100,3,10.2,8,7,4,12,5,13
157,24,12,1,86,87,54,34,14,0,0,12,4,4,158.82,4,15.6,8,7,21,33,14,20
158,24,12,1,86,88,4,2,0,0,0,1,1,0,200,5,0,8,7,4,0,2,0
159,25,13,1,83,84,5,5,1,0,0,3,1,0,100,1,0.5,1,7,5,0,4,1
160,25,13,1,83,85,72,45,18,0,0,17,4,6,160,2,8.2,1,7,25,45,19,26
161,25,13,1,83,86,49,31,16,0,0,10,2,4,158.06,3,13.3,1,7,12,36,16,16
162,25,13,1,87,86,10,8,4,0,0,3,0,1,125,4,14.5,1,7,8,2,5,3
163,25,13,1,87,88,19,14,5,0,0,6,2,1,135.71,5,17.1,1,7,6,13,4,10
164,25,13,1,87,89,18,17,8,0,0,7,1,1,105.88,6,0,1,7,10,8,9,8
165,26,13,1,1,2,25,22,9,0,0,10,1,2,113.64,1,3.4,7,1,17,8,14,8
166,26,13,1,3,2,45,46,23,0,0,18,4,1,97.83,2,11.2,7,1,24,21,25,21
167,26,13,1,3,4,45,25,11,0,0,7,4,3,180,3,15.3,7,1,35,10,16,9
168,26,13,1,6,4,0,1,0,0,0,1,0,0,0,4,15.4,7,1,0,0,1,0
169,26,13,1,8,4,15,13,7,0,0,4,2,0,115.38,5,17.5,7,1,11,4,9,4
170,26,13,1,7,4,43,13,3,0,0,2,4,4,330.77,6,0,7,1,42,1,12,1
171,27,14,1,43,44,18,12,4,0,0,5,2,1,150,1,1.6,3,4,12,6,6,6
172,27,14,1,43,45,8,10,4,0,0,5,1,0,80,2,3.4,3,4,7,1,7,3
173,27,14,1,43,46,56,42,17,1,0,17,7,1,133.33,3,10.4,3,4,13,40,14,29
174,27,14,1,43,47,78,50,19,0,0,19,10,3,156,4,18.6,3,4,30,47,16,35
175,27,14,1,43,48,9,6,3,1,0,1,1,0,150,5,0,3,4,8,1,5,1
176,28,14,1,29,28,93,59,25,0,0,22,10,4,157.63,1,9.5,4,3,55,34,33,28
177,28,14,1,29,31,80,47,22,1,0,15,10,2,170.21,2,0,4,3,43,33,27,23
178,29,15,1,1,2,1,4,1,0,0,3,0,0,25,1,0.4,3,1,1,0,1,3
179,29,15,1,1,3,67,42,11,1,0,19,6,5,159.52,2,7.4,3,1,28,39,14,28
180,29,15,1,1,4,14,9,2,0,0,4,3,0,155.56,3,9.1,3,1,9,5,4,5
181,29,15,1,1,7,5,5,1,0,0,3,1,0,100,4,9.6,3,1,1,4,3,2
182,29,15,1,1,6,0,1,0,0,0,1,0,0,0,5,10.1,3,1,0,0,1,0
183,29,15,1,8,6,22,27,14,0,0,11,2,0,81.48,6,14.4,3,1,8,14,18,9
184,29,15,1,9,6,5,9,4,0,0,5,0,0,55.56,7,16.1,3,1,2,2,5,4
185,29,15,1,9,10,14,12,2,0,0,7,3,0,116.67,8,18.1,3,1,12,2,4,8
186,29,15,1,9,13,1,9,1,0,0,8,0,0,11.11,9,19.4,3,1,1,0,1,8
187,29,15,1,9,12,0,2,0,0,0,2,0,0,0,10,0,3,1,0,0,0,2
188,30,15,1,29,28,74,56,24,2,0,23,5,4,132.14,1,9.2,1,3,33,39,26,32
189,30,15,1,31,28,0,1,0,0,0,1,0,0,0,2,9.3,1,3,0,0,1,0
190,30,15,1,42,28,18,9,2,1,0,3,2,1,200,3,10.6,1,3,11,7,5,4
191,30,15,1,42,32,6,9,4,1,0,4,0,0,66.67,4,12.3,1,3,3,3,5,4
192,30,15,1,42,33,34,26,11,1,0,9,5,0,130.77,5,0,1,3,12,21,9,17
193,31,16,2,120,73,14,11,5,0,0,4,2,0,127.27,1,1.5,21,22,10,3,6,5
194,31,16,2,121,73,24,13,6,0,0,3,3,1,184.62,2,3.6,21,22,16,8,7,6
195,31,16,2,122,73,57,37,21,0,0,9,3,4,154.05,3,10.1,21,22,18,39,14,23
